split,speaker_id,language,video_id,image_path,voice_path,face_dir
train,id0048,English,R0UMqq9U6wg,faces/id0048/R0UMqq9U6wg/0000625.jpg,voices/id0048/English/R0UMqq9U6wg/00008.wav,faces/id0048/R0UMqq9U6wg
train,id0037,English,JQXdD8SMjkI,faces/id0037/JQXdD8SMjkI/0001425.jpg,voices/id0037/English/JQXdD8SMjkI/00002.wav,faces/id0037/JQXdD8SMjkI
train,id0052,English,Bk-cX342Faw,faces/id0052/Bk-cX342Faw/0000025.jpg,voices/id0052/English/Bk-cX342Faw/00018.wav,faces/id0052/Bk-cX342Faw
train,id0054,English,F7C87RNgnK4,faces/id0054/F7C87RNgnK4/0000150.jpg,voices/id0054/English/F7C87RNgnK4/00009.wav,faces/id0054/F7C87RNgnK4
train,id0013,English,CbHAv1DqVtA,faces/id0013/CbHAv1DqVtA/0000450.jpg,voices/id0013/English/CbHAv1DqVtA/00025.wav,faces/id0013/CbHAv1DqVtA
train,id0041,English,igda3vF6SuI,faces/id0041/igda3vF6SuI/0001950.jpg,voices/id0041/English/igda3vF6SuI/00053.wav,faces/id0041/igda3vF6SuI
train,id0009,English,CbMvPV-JKew,faces/id0009/CbMvPV-JKew/0001075.jpg,voices/id0009/English/CbMvPV-JKew/00079.wav,faces/id0009/CbMvPV-JKew
train,id0045,English,QjPkuA2BoX4,faces/id0045/QjPkuA2BoX4/0001625.jpg,voices/id0045/English/QjPkuA2BoX4/00110.wav,faces/id0045/QjPkuA2BoX4
train,id0011,English,CsnMSIZg04A,faces/id0011/CsnMSIZg04A/0000075.jpg,voices/id0011/English/CsnMSIZg04A/00009.wav,faces/id0011/CsnMSIZg04A
train,id0010,English,nnQb0PVW9Zc,faces/id0010/nnQb0PVW9Zc/0000175.jpg,voices/id0010/English/nnQb0PVW9Zc/00000.wav,faces/id0010/nnQb0PVW9Zc
train,id0068,English,7IxNK3Xa4gs,faces/id0068/7IxNK3Xa4gs/0000000.jpg,voices/id0068/English/7IxNK3Xa4gs/00004.wav,faces/id0068/7IxNK3Xa4gs
train,id0058,English,gSa1ltx9rTA,faces/id0058/gSa1ltx9rTA/0000050.jpg,voices/id0058/English/gSa1ltx9rTA/00000.wav,faces/id0058/gSa1ltx9rTA
train,id0001,English,sBBhXKlC4dA,faces/id0001/sBBhXKlC4dA/0000075.jpg,voices/id0001/English/sBBhXKlC4dA/00001.wav,faces/id0001/sBBhXKlC4dA
train,id0042,English,879NYRQPID8,faces/id0042/879NYRQPID8/0000000.jpg,voices/id0042/English/879NYRQPID8/00016.wav,faces/id0042/879NYRQPID8
train,id0044,English,vYJc6nLFq40,faces/id0044/vYJc6nLFq40/0000625.jpg,voices/id0044/English/vYJc6nLFq40/00049.wav,faces/id0044/vYJc6nLFq40
train,id0039,English,qyZ004QI6Iw,faces/id0039/qyZ004QI6Iw/0000025.jpg,voices/id0039/English/qyZ004QI6Iw/00091.wav,faces/id0039/qyZ004QI6Iw
train,id0005,English,YETolXZneZA,faces/id0005/YETolXZneZA/0000000.jpg,voices/id0005/English/YETolXZneZA/00020.wav,faces/id0005/YETolXZneZA
train,id0052,English,uX3Q8CzGyVk,faces/id0052/uX3Q8CzGyVk/0000025.jpg,voices/id0052/English/uX3Q8CzGyVk/00032.wav,faces/id0052/uX3Q8CzGyVk
train,id0052,English,oKKSSoDfquA,faces/id0052/oKKSSoDfquA/0000025.jpg,voices/id0052/English/oKKSSoDfquA/00045.wav,faces/id0052/oKKSSoDfquA
train,id0014,English,4HS4dZrpe-M,faces/id0014/4HS4dZrpe-M/0000425.jpg,voices/id0014/English/4HS4dZrpe-M/00003.wav,faces/id0014/4HS4dZrpe-M
train,id0023,English,_TCHCsQECzI,faces/id0023/_TCHCsQECzI/0000025.jpg,voices/id0023/English/_TCHCsQECzI/00007.wav,faces/id0023/_TCHCsQECzI
train,id0039,English,Aq57LMnhilM,faces/id0039/Aq57LMnhilM/0000000.jpg,voices/id0039/English/Aq57LMnhilM/00023.wav,faces/id0039/Aq57LMnhilM
train,id0039,English,qyZ004QI6Iw,faces/id0039/qyZ004QI6Iw/0000025.jpg,voices/id0039/English/qyZ004QI6Iw/00003.wav,faces/id0039/qyZ004QI6Iw
train,id0028,English,SxPxjK1j_CY,faces/id0028/SxPxjK1j_CY/0000325.jpg,voices/id0028/English/SxPxjK1j_CY/00016.wav,faces/id0028/SxPxjK1j_CY
train,id0056,English,1_a3Y6LGpAA,faces/id0056/1_a3Y6LGpAA/0000825.jpg,voices/id0056/English/1_a3Y6LGpAA/00037.wav,faces/id0056/1_a3Y6LGpAA
train,id0056,English,1_a3Y6LGpAA,faces/id0056/1_a3Y6LGpAA/0000825.jpg,voices/id0056/English/1_a3Y6LGpAA/00004.wav,faces/id0056/1_a3Y6LGpAA
train,id0015,English,hU5pLzIixjw,faces/id0015/hU5pLzIixjw/0000975.jpg,voices/id0015/English/hU5pLzIixjw/00003.wav,faces/id0015/hU5pLzIixjw
