split,speaker_id,language,video_id,image_path,voice_path,face_dir
train,id0033,Urdu,02L6RPzTSoI,faces/id0033/02L6RPzTSoI/0001475.jpg,voices/id0033/Urdu/02L6RPzTSoI/00046.wav,faces/id0033/02L6RPzTSoI
train,id0048,Urdu,dpd_s0t0geM,faces/id0048/dpd_s0t0geM/0002900.jpg,voices/id0048/Urdu/dpd_s0t0geM/00000.wav,faces/id0048/dpd_s0t0geM
train,id0048,Urdu,dpd_s0t0geM,faces/id0048/dpd_s0t0geM/0002900.jpg,voices/id0048/Urdu/dpd_s0t0geM/00049.wav,faces/id0048/dpd_s0t0geM
train,id0059,Urdu,Nqcoz0iuxEk,faces/id0059/Nqcoz0iuxEk/0002250.jpg,voices/id0059/Urdu/Nqcoz0iuxEk/00057.wav,faces/id0059/Nqcoz0iuxEk
train,id0069,Urdu,BNvjmBk5psM,faces/id0069/BNvjmBk5psM/0000400.jpg,voices/id0069/Urdu/BNvjmBk5psM/00009.wav,faces/id0069/BNvjmBk5psM
train,id0069,Urdu,9K0_Ba3uRQ8,faces/id0069/9K0_Ba3uRQ8/0000525.jpg,voices/id0069/Urdu/9K0_Ba3uRQ8/00029.wav,faces/id0069/9K0_Ba3uRQ8
train,id0051,Urdu,w_c9WOoaAJ8,faces/id0051/w_c9WOoaAJ8/0000200.jpg,voices/id0051/Urdu/w_c9WOoaAJ8/00006.wav,faces/id0051/w_c9WOoaAJ8
train,id0048,Urdu,dpd_s0t0geM,faces/id0048/dpd_s0t0geM/0002900.jpg,voices/id0048/Urdu/dpd_s0t0geM/00058.wav,faces/id0048/dpd_s0t0geM
train,id0059,Urdu,Nqcoz0iuxEk,faces/id0059/Nqcoz0iuxEk/0002250.jpg,voices/id0059/Urdu/Nqcoz0iuxEk/00053.wav,faces/id0059/Nqcoz0iuxEk
train,id0055,Urdu,1E2M_GJQpfc,faces/id0055/1E2M_GJQpfc/0004125.jpg,voices/id0055/Urdu/1E2M_GJQpfc/00016.wav,faces/id0055/1E2M_GJQpfc
train,id0055,Urdu,1E2M_GJQpfc,faces/id0055/1E2M_GJQpfc/0004125.jpg,voices/id0055/Urdu/1E2M_GJQpfc/00007.wav,faces/id0055/1E2M_GJQpfc
train,id0069,Urdu,9K0_Ba3uRQ8,faces/id0069/9K0_Ba3uRQ8/0000525.jpg,voices/id0069/Urdu/9K0_Ba3uRQ8/00008.wav,faces/id0069/9K0_Ba3uRQ8
train,id0065,Urdu,aDRUp-LbiH4,faces/id0065/aDRUp-LbiH4/0014500.jpg,voices/id0065/Urdu/aDRUp-LbiH4/00006.wav,faces/id0065/aDRUp-LbiH4
train,id0059,Urdu,Nqcoz0iuxEk,faces/id0059/Nqcoz0iuxEk/0002250.jpg,voices/id0059/Urdu/Nqcoz0iuxEk/00041.wav,faces/id0059/Nqcoz0iuxEk
train,id0069,Urdu,9K0_Ba3uRQ8,faces/id0069/9K0_Ba3uRQ8/0000525.jpg,voices/id0069/Urdu/9K0_Ba3uRQ8/00003.wav,faces/id0069/9K0_Ba3uRQ8
train,id0048,Urdu,dpd_s0t0geM,faces/id0048/dpd_s0t0geM/0002900.jpg,voices/id0048/Urdu/dpd_s0t0geM/00031.wav,faces/id0048/dpd_s0t0geM
train,id0069,Urdu,9K0_Ba3uRQ8,faces/id0069/9K0_Ba3uRQ8/0000525.jpg,voices/id0069/Urdu/9K0_Ba3uRQ8/00030.wav,faces/id0069/9K0_Ba3uRQ8
train,id0033,Urdu,02L6RPzTSoI,faces/id0033/02L6RPzTSoI/0001475.jpg,voices/id0033/Urdu/02L6RPzTSoI/00010.wav,faces/id0033/02L6RPzTSoI
